Antal nya cancerfall, Ålder: 0-85+, Diagnos:191 Tumör i huden, ej malignt melanom, oavsett tumörtyp
År;Region;Ålder;Män;Kvinnor
2015;Västerbottens län;50­54;0;0
2015;Västerbottens län;55­59;0;1
2015;Västerbottens län;60­64;1;0
2015;Västerbottens län;65­69;3;8
2015;Västerbottens län;70­74;7;3
2015;Västerbottens län;75­79;8;2
2015;Västerbottens län;80­84;11;6
2015;Västerbottens län;85+;18;11
2015;Norrbottens län;0­4;0;0
2015;Norrbottens län;5­9;0;0
2015;Norrbottens län;10­14;0;0
2015;Norrbottens län;15­19;0;0
2015;Norrbottens län;20­24;0;0
2015;Norrbottens län;25­29;0;1
2015;Norrbottens län;30­34;0;0
2015;Norrbottens län;35­39;0;0
2015;Norrbottens län;40­44;0;1
2015;Norrbottens län;45­49;0;0
2015;Norrbottens län;50­54;0;0
2015;Norrbottens län;55­59;3;2
2015;Norrbottens län;60­64;1;0
2015;Norrbottens län;65­69;7;4
2015;Norrbottens län;70­74;9;10
2015;Norrbottens län;75­79;7;10
2015;Norrbottens län;80­84;13;4
2015;Norrbottens län;85+;12;18
2014;Riket;0­4;0;0
2014;Riket;5­9;0;0
2014;Riket;10­14;1;0
2014;Riket;15­19;1;1
2014;Riket;20­24;5;3
2014;Riket;25­29;2;2
2014;Riket;30­34;2;2
2014;Riket;35­39;7;6
2014;Riket;40­44;10;15
2014;Riket;45­49;22;57
2014;Riket;50­54;48;50
2014;Riket;55­59;91;78
2014;Riket;60­64;197;146
2014;Riket;65­69;396;269
2014;Riket;70­74;556;357
2014;Riket;75­79;780;424
2014;Riket;80­84;755;487
2014;Riket;85+;1 124;1 113
2014;Stockholms län;0­4;0;0
2014;Stockholms län;5­9;0;0
2014;Stockholms län;10­14;0;0
2014;Stockholms län;15­19;1;1
2014;Stockholms län;20­24;0;2
2014;Stockholms län;25­29;0;0
2014;Stockholms län;30­34;0;0
2014;Stockholms län;35­39;1;1
2014;Stockholms län;40­44;2;3
2014;Stockholms län;45­49;6;9
2014;Stockholms län;50­54;13;13
2014;Stockholms län;55­59;25;25
2014;Stockholms län;60­64;55;40
2014;Stockholms län;65­69;82;68
2014;Stockholms län;70­74;116;88
2014;Stockholms län;75­79;141;88
2014;Stockholms län;80­84;133;105
2014;Stockholms län;85+;192;223
2014;Uppsala län;0­4;0;0
2014;Uppsala län;5­9;0;0
2014;Uppsala län;10­14;0;0
2014;Uppsala län;15­19;0;0
2014;Uppsala län;20­24;0;0
2014;Uppsala län;25­29;0;0
2014;Uppsala län;30­34;0;0
2014;Uppsala län;35­39;0;0
2014;Uppsala län;40­44;0;0
2014;Uppsala län;45­49;2;1
2014;Uppsala län;50­54;2;2
2014;Uppsala län;55­59;5;3
2014;Uppsala län;60­64;4;4
2014;Uppsala län;65­69;12;4
2014;Uppsala län;70­74;20;15
2014;Uppsala län;75­79;30;17
2014;Uppsala län;80­84;21;15
2014;Uppsala län;85+;28;23
2014;Södermanlands län;0­4;0;0
2014;Södermanlands län;5­9;0;0
2014;Södermanlands län;10­14;0;0
2014;Södermanlands län;15­19;0;0
2014;Södermanlands län;20­24;0;0
2014;Södermanlands län;25­29;0;0
2014;Södermanlands län;30­34;0;0
2014;Södermanlands län;35­39;0;0
2014;Södermanlands län;40­44;0;2
2014;Södermanlands län;45­49;1;0
2014;Södermanlands län;50­54;2;1
2014;Södermanlands län;55­59;2;0
2014;Södermanlands län;60­64;6;0
2014;Södermanlands län;65­69;6;6
2014;Södermanlands län;70­74;17;6
2014;Södermanlands län;75­79;12;3
2014;Södermanlands län;80­84;19;6
2014;Södermanlands län;85+;23;25
2014;Östergötlands län;0­4;0;0
2014;Östergötlands län;5­9;0;0
2014;Östergötlands län;10­14;0;0
2014;Östergötlands län;15­19;0;0
2014;Östergötlands län;20­24;0;0
2014;Östergötlands län;25­29;0;0
2014;Östergötlands län;30­34;0;0
2014;Östergötlands län;35­39;0;0
2014;Östergötlands län;40­44;0;1
2014;Östergötlands län;45­49;1;3
2014;Östergötlands län;50­54;2;5
2014;Östergötlands län;55­59;6;1
2014;Östergötlands län;60­64;10;12
2014;Östergötlands län;65­69;20;14
2014;Östergötlands län;70­74;31;17
2014;Östergötlands län;75­79;30;30
2014;Östergötlands län;80­84;41;22
2014;Östergötlands län;85+;55;51
2014;Jönköpings län;0­4;0;0
2014;Jönköpings län;5­9;0;0
2014;Jönköpings län;10­14;0;0
2014;Jönköpings län;15­19;0;0
2014;Jönköpings län;20­24;0;0
2014;Jönköpings län;25­29;0;1
2014;Jönköpings län;30­34;0;0
2014;Jönköpings län;35­39;0;0
2014;Jönköpings län;40­44;0;1
2014;Jönköpings län;45­49;2;1
2014;Jönköpings län;50­54;1;0
2014;Jönköpings län;55­59;1;3
2014;Jönköpings län;60­64;6;1
2014;Jönköpings län;65­69;12;15
2014;Jönköpings län;70­74;30;12
2014;Jönköpings län;75­79;32;14
2014;Jönköpings län;80­84;26;14
2014;Jönköpings län;85+;53;45
2014;Kronobergs län;0­4;0;0
2014;Kronobergs län;5­9;0;0
2014;Kronobergs län;10­14;0;0
2014;Kronobergs län;15­19;0;0
2014;Kronobergs län;20­24;1;0
2014;Kronobergs län;25­29;0;0
2014;Kronobergs län;30­34;0;0
2014;Kronobergs län;35­39;0;0
2014;Kronobergs län;40­44;0;1
2014;Kronobergs län;45­49;0;22
2014;Kronobergs län;50­54;2;2
2014;Kronobergs län;55­59;1;4
2014;Kronobergs län;60­64;4;3
2014;Kronobergs län;65­69;12;1
2014;Kronobergs län;70­74;16;3
2014;Kronobergs län;75­79;19;13
2014;Kronobergs län;80­84;13;10
2014;Kronobergs län;85+;34;19
2014;Kalmar län;0­4;0;0
2014;Kalmar län;5­9;0;0
2014;Kalmar län;10­14;0;0
2014;Kalmar län;15­19;0;0
2014;Kalmar län;20­24;0;0
2014;Kalmar län;25­29;0;0
2014;Kalmar län;30­34;0;0
2014;Kalmar län;35­39;1;0
2014;Kalmar län;40­44;0;0
2014;Kalmar län;45­49;0;0
2014;Kalmar län;50­54;2;3
2014;Kalmar län;55­59;3;1
2014;Kalmar län;60­64;8;2
2014;Kalmar län;65­69;24;6
2014;Kalmar län;70­74;22;12
2014;Kalmar län;75­79;25;8
2014;Kalmar län;80­84;28;14
2014;Kalmar län;85+;35;34
2014;Gotlands län;0­4;0;0
2014;Gotlands län;5­9;0;0
2014;Gotlands län;10­14;0;0
2014;Gotlands län;15­19;0;0
2014;Gotlands län;20­24;0;0
2014;Gotlands län;25­29;0;0
2014;Gotlands län;30­34;0;0
2014;Gotlands län;35­39;0;0
2014;Gotlands län;40­44;0;1
2014;Gotlands län;45­49;0;0
2014;Gotlands län;50­54;0;0
2014;Gotlands län;55­59;1;1
2014;Gotlands län;60­64;5;1
2014;Gotlands län;65­69;2;3
2014;Gotlands län;70­74;3;1
2014;Gotlands län;75­79;6;5
2014;Gotlands län;80­84;5;4
2014;Gotlands län;85+;8;15
2014;Blekinge län;0­4;0;0
2014;Blekinge län;5­9;0;0
2014;Blekinge län;10­14;0;0
2014;Blekinge län;15­19;0;0
2014;Blekinge län;20­24;0;0
2014;Blekinge län;25­29;0;0
2014;Blekinge län;30­34;0;0
2014;Blekinge län;35­39;0;0
2014;Blekinge län;40­44;0;0
2014;Blekinge län;45­49;0;0
2014;Blekinge län;50­54;1;1
2014;Blekinge län;55­59;2;2
2014;Blekinge län;60­64;1;4
2014;Blekinge län;65­69;8;4
2014;Blekinge län;70­74;12;11
2014;Blekinge län;75­79;17;4
2014;Blekinge län;80­84;16;11
2014;Blekinge län;85+;25;17
2014;Skåne län;0­4;0;0
2014;Skåne län;5­9;0;0
2014;Skåne län;10­14;0;0
2014;Skåne län;15­19;0;0
2014;Skåne län;20­24;3;1
2014;Skåne län;25­29;1;0
2014;Skåne län;30­34;1;2
2014;Skåne län;35­39;2;2
2014;Skåne län;40­44;4;1
2014;Skåne län;45­49;4;6
2014;Skåne län;50­54;6;5
2014;Skåne län;55­59;11;6
2014;Skåne län;60­64;30;19
2014;Skåne län;65­69;57;31
2014;Skåne län;70­74;76;46
2014;Skåne län;75­79;116;72
2014;Skåne län;80­84;130;78
2014;Skåne län;85+;144;178
2014;Hallands län;0­4;0;0
2014;Hallands län;5­9;0;0
2014;Hallands län;10­14;1;0
2014;Hallands län;15­19;0;0
2014;Hallands län;20­24;0;0
2014;Hallands län;25­29;0;0
2014;Hallands län;30­34;0;0
2014;Hallands län;35­39;0;1
2014;Hallands län;40­44;0;1
2014;Hallands län;45­49;2;5
2014;Hallands län;50­54;1;2
2014;Hallands län;55­59;2;2
2014;Hallands län;60­64;16;15
2014;Hallands län;65­69;13;21
2014;Hallands län;70­74;41;32
2014;Hallands län;75­79;51;38
2014;Hallands län;80­84;37;31
2014;Hallands län;85+;68;69
2014;Västra Götalands län;0­4;0;0
2014;Västra Götalands län;5­9;0;0
